#{"t_start": 1758576410.4097598, "env_id": "None"}
r,l,t
2.0300004,47,21.905722
1.6900003,81,21.910966
1.7100003,79,21.921612
1.7800004,72,21.923433
1.2400002,126,21.935174
1.4400002,106,21.942297
1.7500004,75,21.97196
1.9400004,56,21.975498
1.8600004,64,21.977319
1.5800002,92,21.979151
1.9900005,51,21.980968
1.7500005,75,21.989747
1.5400002,96,22.003804
1.9600004,54,22.00384
1.8200004,68,22.010872
1.8800004,62,22.018389
1.6100004,89,22.030763
1.8200004,68,22.045501
1.7100004,79,22.056267
2.0300004,47,22.063325
1.7600005,74,22.068658
1.8700004,63,22.092895
1.9900005,51,22.096433
1.8200004,68,22.09828
1.9000003,60,22.098309
1.7600005,74,22.105318
1.4600002,104,22.110632
1.5600001,94,22.110662
1.8800006,62,22.115929
1.9000005,60,22.126606
