#{"t_start": 1758581180.9858956, "env_id": "None"}
r,l,t
-0.71,22,117.916566
-0.55,6,117.928399
-0.59,10,117.94809
-0.62,13,117.973399
-0.89,40,118.054207
-0.56,7,118.067107
-0.56,7,118.080112
-0.54,5,118.088975
-0.3,31,118.146743
-0.56,7,118.159929
-0.71,22,118.200652
-0.56,7,118.214193
-0.56,7,118.227511
-0.16,17,118.258658
-0.84,35,118.324324
-0.65,16,118.353503
-0.09,10,118.372162
-0.56,7,118.385497
-0.64,15,118.414748
-0.57,8,118.429345
-0.71,22,118.469872
-0.55,6,118.481181
-0.59,10,118.500385
-0.81,32,118.560153
-0.62,13,118.58464
-0.79,30,118.648741
-0.57,8,118.666729
-0.47,48,118.758136
-0.52,3,118.76407
-0.51,2,118.767968
-0.69,20,118.806317
-0.54,5,118.816604
-0.39,40,118.894231
-0.52,3,118.900703
-0.13,14,118.931053
-0.24,25,118.979025
-0.52,3,118.984995
-0.58,9,119.002796
-0.53,4,119.010635
-0.51,2,119.01499
-0.2,21,119.057102
-0.69,20,119.096136
-0.54,5,119.106275
-0.58,9,119.124991
-0.61,12,119.152058
-0.65,16,119.182649
-0.23,24,119.24456
-0.64,15,119.277786
-0.62,13,119.306826
-0.5,1,119.309058
-0.1,11,119.331789
-0.71,22,119.3808
-0.54,5,119.399404
-0.75,26,119.458268
-0.59,10,119.478117
-0.63,14,119.504876
-0.15,16,120.64101
-0.63,14,120.67104
-0.59,10,120.691355
-0.69,20,120.73343
-0.16,17,120.765023
-0.1,11,120.785025
-0.14,15,120.81216
-0.5,1,120.814244
-0.56,7,120.827139
-0.57,8,120.841156
-0.6,11,120.862371
-0.56,7,120.875345
-0.19,20,120.912015
-0.73,24,120.956946
-0.55,6,120.969187
-1.22,73,121.108304
-0.6,11,121.129242
-0.6,11,121.149907
-0.58,9,121.167001
-0.62,13,121.191773
-0.13,14,121.218562
-0.93,44,121.302952
-0.16,17,121.334906
-0.59,10,121.354201
-0.7,21,121.393974
-0.58,9,121.41131
-0.72,23,121.454518
-0.26,27,121.505481
-0.56,7,121.519554
-0.32,33,121.581875
-0.6,11,121.602699
-0.55,6,121.613883
-0.54,5,121.623501
-0.62,13,121.648278
-0.75,26,121.697608
-0.62,13,121.722816
-0.54,5,121.732436
-0.62,13,121.760846
-0.61,12,121.784851
-0.3,31,121.844882
-0.34,35,121.914806
-0.77,28,121.976414
-0.08,9,121.995916
-0.91,42,122.098341
-0.1,11,122.13408
-0.62,13,122.164194
-0.59,10,122.187273
-0.11,12,122.225047
-0.57,8,122.243198
-0.5,1,122.245736
-0.53,4,122.258385
-0.11,12,122.28563
-0.56,7,122.303574
-0.7,21,122.357032
-0.45,46,122.474542
-0.58,9,122.493331
-0.59,10,122.512319
-0.64,15,122.549156
-0.58,9,122.576227
-0.52,3,122.587483
-0.58,9,122.60681
-0.6,11,122.62973
-0.83,34,122.720054
-0.99,50,122.832531
-0.11,12,122.857673
-0.7,21,122.908575
-0.68,19,122.944827
-0.67,18,122.979632
-0.39,40,123.060697
-0.71,22,123.104366
-0.58,9,123.123006
-0.66,17,123.678304
-0.59,10,123.697533
-0.71,22,123.739853
-0.6,11,123.765396
-0.5,1,123.76758
-0.04,5,123.781212
-0.62,13,123.811699
-0.79,30,123.897564
-0.56,7,123.913891
-0.59,10,123.935179
-0.62,13,123.969237
-0.54,5,123.980794
-0.58,9,123.999598
-0.52,3,124.006368
-0.53,4,124.014266
-0.69,20,124.056138
-0.56,7,124.07084
-0.59,10,124.093132
-0.11,12,124.122094
-0.55,6,124.136506
-0.57,8,124.153551
-0.61,12,124.17924
-0.5,1,124.181646
-0.52,3,124.187617
-0.73,24,124.23987
-0.5,1,124.2417
-0.62,13,124.267818
-0.57,8,124.283668
-0.54,5,124.292816
-0.6,11,124.314636
-0.59,10,124.335188
-0.57,8,124.356285
-0.56,7,124.371738
-0.13,14,124.400879
-0.51,2,124.404769
-0.54,5,124.41485
-0.58,9,124.433505
-0.56,7,124.446596
-0.54,5,124.456452
-0.58,9,124.474988
